# system size, dimension of Hibert space: 8, 70
-1 -1 -1 -1 1 1 1 1
-1 -1 -1 1 -1 1 1 1
-1 -1 -1 1 1 -1 1 1
-1 -1 -1 1 1 1 -1 1
-1 -1 -1 1 1 1 1 -1
-1 -1 1 -1 -1 1 1 1
-1 -1 1 -1 1 -1 1 1
-1 -1 1 -1 1 1 -1 1
-1 -1 1 -1 1 1 1 -1
-1 -1 1 1 -1 -1 1 1
-1 -1 1 1 -1 1 -1 1
-1 -1 1 1 -1 1 1 -1
-1 -1 1 1 1 -1 -1 1
-1 -1 1 1 1 -1 1 -1
-1 -1 1 1 1 1 -1 -1
-1 1 -1 -1 -1 1 1 1
-1 1 -1 -1 1 -1 1 1
-1 1 -1 -1 1 1 -1 1
-1 1 -1 -1 1 1 1 -1
-1 1 -1 1 -1 -1 1 1
-1 1 -1 1 -1 1 -1 1
-1 1 -1 1 -1 1 1 -1
-1 1 -1 1 1 -1 -1 1
-1 1 -1 1 1 -1 1 -1
-1 1 -1 1 1 1 -1 -1
-1 1 1 -1 -1 -1 1 1
-1 1 1 -1 -1 1 -1 1
-1 1 1 -1 -1 1 1 -1
-1 1 1 -1 1 -1 -1 1
-1 1 1 -1 1 -1 1 -1
-1 1 1 -1 1 1 -1 -1
-1 1 1 1 -1 -1 -1 1
-1 1 1 1 -1 -1 1 -1
-1 1 1 1 -1 1 -1 -1
-1 1 1 1 1 -1 -1 -1
1 -1 -1 -1 -1 1 1 1
1 -1 -1 -1 1 -1 1 1
1 -1 -1 -1 1 1 -1 1
1 -1 -1 -1 1 1 1 -1
1 -1 -1 1 -1 -1 1 1
1 -1 -1 1 -1 1 -1 1
1 -1 -1 1 -1 1 1 -1
1 -1 -1 1 1 -1 -1 1
1 -1 -1 1 1 -1 1 -1
1 -1 -1 1 1 1 -1 -1
1 -1 1 -1 -1 -1 1 1
1 -1 1 -1 -1 1 -1 1
1 -1 1 -1 -1 1 1 -1
1 -1 1 -1 1 -1 -1 1
1 -1 1 -1 1 -1 1 -1
1 -1 1 -1 1 1 -1 -1
1 -1 1 1 -1 -1 -1 1
1 -1 1 1 -1 -1 1 -1
1 -1 1 1 -1 1 -1 -1
1 -1 1 1 1 -1 -1 -1
1 1 -1 -1 -1 -1 1 1
1 1 -1 -1 -1 1 -1 1
1 1 -1 -1 -1 1 1 -1
1 1 -1 -1 1 -1 -1 1
1 1 -1 -1 1 -1 1 -1
1 1 -1 -1 1 1 -1 -1
1 1 -1 1 -1 -1 -1 1
1 1 -1 1 -1 -1 1 -1
1 1 -1 1 -1 1 -1 -1
1 1 -1 1 1 -1 -1 -1
1 1 1 -1 -1 -1 -1 1
1 1 1 -1 -1 -1 1 -1
1 1 1 -1 -1 1 -1 -1
1 1 1 -1 1 -1 -1 -1
1 1 1 1 -1 -1 -1 -1
